Title,Artist,Style,Genre,Media,Link to Picture,link to image,Artwork_ID,,,,
Untitled,Mathias Goeritz,Minimalism,sculpture,sculpture,https://www.wikiart.org/en/mathias-goeritz/untitled-1983,https://uploads8.wikiart.org/images/mathias-goeritz/untitled-1983.jpg,98,,,,https://uploads8.wikiart.org/images/erich-buchholz/composition-1920-1.jpg
Untitled (from Splints),Mira Schendel,Minimalism,abstract,wood,https://www.wikiart.org/en/mira-schendel/untitled-from-splints-1987,https://uploads4.wikiart.org/images/mira-schendel/untitled-from-splints-1987(1).jpg!PinterestSmall.jpg,99,,,,https://uploads8.wikiart.org/images/john-mclaughlin/number-6-1963.jpg
Primrose,Anne Truitt,Minimalism,sculpture,sculpture,https://www.wikiart.org/en/anne-truitt/primrose-1962,https://uploads8.wikiart.org/images/anne-truitt/primrose-1962.jpg,100,,,,https://uploads8.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg
Ridiculous Portrait (Statue of Liberty),May Wilson,Pop Art,cityscape,collage,https://www.wikiart.org/en/may-wilson/ridiculous-portrait-statue-of-liberty-1972,https://uploads8.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg,101,,,,https://uploads8.wikiart.org/images/myron-stout/untitled-1979.jpg
Enriched Bread,Corita Kent,Pop Art,figurative,"Screenprint, canvas",https://www.wikiart.org/en/corita-kent/enriched-bread-1965,https://uploads0.wikiart.org/00333/images/corita-kent/enriched-bread-1965.jpg,102,,,,https://uploads8.wikiart.org/images/agnes-martin/desert-rain-1957.jpg
"Pies, Pies, Pies",Wayne Thiebaud,Pop Art,still life,"oil, canvas",https://www.wikiart.org/en/wayne-thiebaud/pies-pies-pies-1961,https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg,103,,,,https://uploads8.wikiart.org/images/gego/untitled-1966.jpg
Self-Portrait,Richard Hamilton,Pop Art,self-portrait,screenprint,https://www.wikiart.org/en/richard-hamilton/self-portrait-1967,https://uploads8.wikiart.org/images/richard-hamilton/self-portrait-1967.jpg,104,,,,https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg
In the car,Roy Lichtenstein,Pop Art,genre painting,"magna, canvas",https://www.wikiart.org/en/roy-lichtenstein/in-the-car-1963,https://uploads5.wikiart.org/images/roy-lichtenstein/in-the-car-1963(1).jpg,105,,,,https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg
Exclamation Point (Chartreuse),Richard Artschwager,Pop Art,installation,fabric,https://www.wikiart.org/en/richard-artschwager/exclamation-point-chartreuse-2008,https://uploads6.wikiart.org/images/richard-artschwager/exclamation-point-chartreuse-2008.jpg!Large.jpg,106,,,,https://uploads8.wikiart.org/images/mathias-goeritz/untitled-1983.jpg
God/Dog,Stanley Pinker,Pop Art,animal painting,"oil, canvas",https://www.wikiart.org/en/stanley-pinker/god-dog,https://uploads8.wikiart.org/images/stanley-pinker/god-dog.jpg,107,,,,https://uploads8.wikiart.org/images/mira-schendel/untitled-from-splints-1987.jpg
Micron salon doloricida,Gianfranco Baruchello,Pop Art,installation,wood,https://www.wikiart.org/en/gianfranco-baruchello/micron-salon-doloricida-1962,https://uploads8.wikiart.org/images/gianfranco-baruchello/micron-salon-doloricida-1962.jpg,108,,,,
Loose woman 2,Sergei Parajanov,Pop Art,symbolic painting,collage,https://www.wikiart.org/en/sergei-parajanov/loose-woman-2-19888,https://uploads6.wikiart.org/images/sergei-parajanov/loose-woman-2-1988.jpg!Large.jpg,109,,,,
Benz Racing Car,Andy Warhol,Pop Art,still life,collage,https://www.wikiart.org/en/andy-warhol/benz-racing-car,https://uploads7.wikiart.org/images/andy-warhol/benz-racing-car.jpg!Large.jpg,110,,,,
The Ancient of Days,William Blake,Symbolism,illustration,watercolor,https://www.wikiart.org/en/william-blake/the-ancient-of-days-1794,https://uploads8.wikiart.org/images/william-blake/the-ancient-of-days-1794.jpg,111,,,,
Marine Terrace with initials,Victor Hugo,Symbolism,figurative,"oil, canvas",https://www.wikiart.org/en/victor-hugo/marine-terrace-with-initials-1855,https://uploads8.wikiart.org/images/victor-hugo/marine-terrace-with-initials-1855.jpg,112,,,,
The Poor Fisherman,Pierre Puvis de Chavannes,Symbolism,genre painting,"oil, canvas",https://www.wikiart.org/en/pierre-puvis-de-chavannes/the-poor-fisherman,https://uploads8.wikiart.org/images/pierre-puvis-de-chavannes/the-poor-fisherman.jpg,113,,,,
Oedipus and the Sphinx,Gustave Moreau,Symbolism,Mythological painting,"oil, canvas",https://www.wikiart.org/en/gustave-moreau/the-sphinx-1864,https://uploads8.wikiart.org/images/gustave-moreau/the-sphinx-1864.jpg,114,,,,
Christ and the two Marys,William Holman Hunt,Symbolism,Religious painting,"oil, canvas",https://www.wikiart.org/en/william-holman-hunt/christ-and-the-two-marys,https://uploads8.wikiart.org/images/william-holman-hunt/christ-and-the-two-marys.jpg,115,,,,
The Isle of the Dead,Arnold Bocklin,Symbolism,allegorical painting,"oil, panel",https://www.wikiart.org/en/arnold-bocklin/the-isle-of-the-dead-1883,https://uploads8.wikiart.org/images/arnold-b-cklin/the-isle-of-the-dead-1883.jpg!HD.jpg,116,,,,
Fallen Angel Looking at a Cloud,Odilon Redon,Symbolism,symbolic painting,"oil, canvas",https://www.wikiart.org/en/odilon-redon/fallen-angel-looking-at-at-cloud,https://uploads8.wikiart.org/images/odilon-redon/fallen-angel-looking-at-at-cloud.jpg,117,,,,
Pegasus Departing,Albert Pinkham Ryder,Symbolism,Mythological painting,"oil, canvas",https://www.wikiart.org/en/albert-pinkham-ryder/pegasus-departing-1901,https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg,118,,,,
Fame ,Luc-Oliver Merson,Symbolism,allegorical painting,"oil, canvas",https://www.wikiart.org/en/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889,https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg,119,,,,
Overall study of the life of weary,Ferdinand Hodler,Symbolism,sketch and study,"pencil, paper",https://www.wikiart.org/en/ferdinand-hodler/overall-study-of-the-life-of-weary,https://uploads8.wikiart.org/images/ferdinand-hodler/overall-study-of-the-life-of-weary.jpg,120,,,,
Spring walk ,Georgy Yakulov,Cubism,genre painting,"gouache, card",https://www.wikiart.org/en/georgy-yakulov/spring-walk-1915,https://uploads8.wikiart.org/images/georgy-yakulov/spring-walk-1915.jpg,121,,,,
Portrait of an Actor (Félix Barré),Jacques Vilon,Cubism,portrait,drypoint,https://www.wikiart.org/en/jacques-villon/portrait-of-an-actor-f-lix-barr-1913,https://uploads8.wikiart.org/images/jacques-villon/portrait-of-an-actor-f-lix-barr-1913.jpg,122,,,,
Visage criant a la grande main,Julio Gonzalez,Cubism,portrait,"gouache, card",https://www.wikiart.org/en/julio-gonzalez/visage-criant-a-la-grande-main-1941,https://uploads8.wikiart.org/images/julio-gonzalez/visage-criant-a-la-grande-main-1941.jpg,123,,,,
Bather,Raoul Dufy,Cubism,nude painting,etching,https://www.wikiart.org/en/raoul-dufy/bather-1908,https://uploads8.wikiart.org/images/raoul-dufy/bather-1908.jpg,124,,,,
Still-life with Chessboard and Pipe,Bela Kadar,Cubism,still life,"oil, canvas",https://www.wikiart.org/en/bela-kadar/still-life-with-chessboard-and-pipe-1920,https://uploads8.wikiart.org/images/bela-kadar/still-life-with-chessboard-and-pipe-1920.jpg,125,,,,
"Violin, Bottle Flowers in a Glass and Eight of Spades",Louis Marcoussis,Cubism,still life,"oil, canvas",https://www.wikiart.org/en/louis-marcoussis/violin-bottle-flowers-in-a-glass-and-eight-of-spades-1919,https://uploads8.wikiart.org/images/louis-marcoussis/violin-bottle-flowers-in-a-glass-and-eight-of-spades-1919.jpg,126,,,,
L'oiseau,Leopold Survage,Cubism,cityscape,"oil, canvas",https://www.wikiart.org/en/leopold-survage/l-oiseau-19155,https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg,127,,,,
Le Monogramme,Maria Blanchard,Cubism,figurative,"oil, canvas",https://www.wikiart.org/en/maria-blanchard/le-monogramme-1916,https://uploads1.wikiart.org/00334/images/maria-blanchard/le-monogramme-1916.jpg!HD.jpg,128,,,,
Painting,Patrick Henry Bruce,Cubism,still life,"oil, canvas",https://www.wikiart.org/en/patrick-henry-bruce/painting-1930,https://uploads8.wikiart.org/images/patrick-henry-bruce/painting-1930.jpg,129,,,,
Composition with skull,Pablo Picasso,Cubism,vanitas,"oil, canvas",https://www.wikiart.org/en/pablo-picasso/composition-with-skull-1908,https://uploads8.wikiart.org/images/pablo-picasso/composition-with-skull-1908.jpg,130,,,,
A Friend in Need,Cassius Marcellus Coolidge,Kitsch,animal painting,"oil, canvas",https://www.wikiart.org/en/cassius-marcellus-coolidge/a-friend-in-need-1903,https://uploads6.wikiart.org/00257/images/cassius-marcellus-coolidge/a-friend-in-need-1903-c-m-coolidge.jpg!Large.jpg,131,,,,
Untitled,Harrison Fisher,Kitsch,design,"oil, canvas",https://www.wikiart.org/en/harrison-fisher/untitled-32,https://uploads8.wikiart.org/images/harrison-fisher/untitled-32.jpg,132,,,,
Mending the Pirate Flag,Frank Xavier Leyendecker,Kitsch,illustration,"oil, canvas",https://www.wikiart.org/en/frank-xavier-leyendecker/mending-the-pirate-flag,https://uploads1.wikiart.org/00137/images/frank-xavier-leyendecker/mending-the-pirate-flag.jpg!HalfHD.jpg,133,,,,
Ducks,Jessie Arms Botke,Kitsch,wildlife painting,"oil, canvas",https://www.wikiart.org/en/jessie-arms-botke/ducks-1920,https://uploads4.wikiart.org/00307/images/jessie-arms-botke/ducks-1920.jpg!Large.jpg,134,,,,
Coca Cola Springboard Girl Tin Serving Tray,Haddon Sundblom,Kitsch,advertisement,metal,https://www.wikiart.org/en/haddon-sundbloom/coca-cola-springboard-girl-tin-serving-tray-1939,https://uploads1.wikiart.org/00220/images/haddon-sundbloom/h1097-l86448450.jpg!Large.jpg,135,,,,
Wind,Konrad Zuse,Kitsch,figurative,"oil, canvas",https://www.wikiart.org/en/konrad-zuse/wind-1963,https://uploads1.wikiart.org/00243/images/konrad-zuse/6332-80x55.jpg!PinterestSmall.jpg,136,,,,
Self Portrait,Vladimir Tretchikoff,Kitsch,self-portrait,"oil, canvas",https://www.wikiart.org/en/vladimir-tretchikoff/self-portrait-1950,https://uploads5.wikiart.org/00231/images/vladimir-tretchikoff/at244945002.jpg!Portrait.jpg,137,,,,
A Princess of Mars,Frank Frazette,Kitsch,illustration,"oil, canvas",https://www.wikiart.org/en/frank-frazetta/a-princess-of-mars,https://uploads8.wikiart.org/00307/images/frank-frazetta/a-princess-of-mars.jpg,138,,,,
Untitled,Mahmoud Farshchian,Kitsch,figurative,"oil, canvas",https://www.wikiart.org/en/mahmoud-farshchian/untitled-8,https://uploads1.wikiart.org/00311/images/mahmoud-farshchian/c9150b9cd75fd48238dbdaff6e0f74e8.jpg!Large.jpg,139,,,,
"San Francisco, Market Street",Thomas Kinkade,Kitsch,cityscape,"oil, canvas",https://www.wikiart.org/en/thomas-kinkade/san-francisco-market-street-1994,https://uploads8.wikiart.org/images/thomas-kinkade/san-francisco-market-street-1994.jpg,140,,,,
The Apotheosis of St. Ignatius,Giovanni Battista Gaulli,Rococo,Religious painting,"oil, canvas",https://www.wikiart.org/en/giovanni-battista-gaulli/the-apotheosis-of-st-ignatius-1685,https://uploads0.wikiart.org/00276/images/giovanni-battista-gaulli/the-apotheosis-of-st-ignatius.jpg!Blog.jpg,141,,,,
A Gentleman in a Gold Patterned Coat and Violet-Brown Cape,Rosalba Carriera,Rococo,portrait,"oil, canvas",https://www.wikiart.org/en/rosalba-carriera/a-gentleman-in-a-gold-patterned-coat-and-violet-brown-cape-1727,https://uploads8.wikiart.org/images/rosalba-carriera/a-gentleman-in-a-gold-patterned-coat-and-violet-brown-cape-1727.jpg,142,,,,
Reception of August the Strong in the Berlin City Palaces,Antoine Pesne,Rococo,portrait,"oil, canvas",https://www.wikiart.org/en/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729,https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg,143,,,,
Le Bain De Diane,Jean-Baptiste van Loo,Rococo,Mythological painting,"oil, canvas",https://www.wikiart.org/en/jean-baptiste-van-loo/le-bain-de-diane,https://uploads6.wikiart.org/00308/images/jean-baptiste-van-loo/jean-baptiste-van-loo-le-bain-de-diane.jpg!HD.jpg,144,,,,
Faun,Antoine Watteau,Rococo,illustration,"oil, panel",https://www.wikiart.org/en/antoine-watteau/faun-1708,https://uploads8.wikiart.org/images/antoine-watteau/faun-1708.jpg,145,,,,
Die Liebenden,Jean-Marc Nattier,Rococo,genre painting,"oil, canvas",https://www.wikiart.org/en/jean-marc-nattier/die-liebenden-1744,https://uploads8.wikiart.org/images/jean-marc-nattier/die-liebenden-1744.jpg,146,,,,
Abundance,Jean-Baptiste Oudry,Rococo,allegorical painting,"oil, canvas",https://www.wikiart.org/en/jean-baptiste-oudry/abundance-1719,https://uploads3.wikiart.org/00366/images/jean-baptiste-oudry/jean-baptiste-oudry-abundance-1719-meisterdrucke-51603.jpg!HalfHD.jpg,147,,,,
The Apotheosis of Saint Jerome with Saint Peter of Alcántara and an Unidentified Franciscan,Giambattista Pittoni,Rococo,Religious painting,"oil, canvas",https://www.wikiart.org/en/giambattista-pittoni/the-apotheosis-of-saint-jerome-with-saint-peter-of-alcantara-and-an-unidentified-franciscan-1725,https://uploads6.wikiart.org/00250/images/giambattista-pittoni/giovanni-battista-pittoni-the-apotheosis-of-saint-jerome-with-saint-peter-of-alcantara-and-an.jpg!HalfHD.jpg,148,,,,
Apotheosis of Hercules,Francois Lemoyne,Rococo,Mythological painting,"oil, canvas",https://www.wikiart.org/en/francois-lemoyne/lapotheose-dhercule,https://uploads2.wikiart.org/00308/images/francois-lemoyne/fran-ois-lemoyne-l-apoth-ose-d-hercule-google-art-project.jpg!HD.jpg,149,,,,
"The Force of Eloquence, Bellerophon and Pegasus",Giovanni Battista Tiepolo,Rococo,allegorical painting,fresco,https://www.wikiart.org/en/giovanni-battista-tiepolo/the-force-of-eloquence-bellerophon-and-pegasus,https://uploads8.wikiart.org/images/giovanni-battista-tiepolo/the-force-of-eloquence-bellerophon-and-pegasus.jpg,150,,,,
Circle Composition,Henryk Berlewi,Op Art,abstract,ink,https://www.wikiart.org/en/henryk-berlewi/circle-composition,https://uploads8.wikiart.org/images/henryk-berlewi/circle-composition.jpg,151,,,,
Hand with Fir Cone,M.C. Escher,Op Art,illustration,ink,https://www.wikiart.org/en/m-c-escher/not_detected_204652,https://uploads8.wikiart.org/images/m-c-escher/not_detected_204652.jpg,152,,,,
Studie 406,Hans Hinterreiter,Op Art,tessellation,"oil, canvas",https://www.wikiart.org/en/hans-hinterreiter/studie-406-1937,https://uploads8.wikiart.org/images/hans-hinterreiter/studie-406-1937.jpg,153,,,,
The Chess Board,Victor Vasarely,Op Art,still life,"oil, board",https://www.wikiart.org/en/victor-vasarely/the-chess-board-1935,https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg,154,,,,
Untitled,Lothar Charoux,Op Art,abstract,"oil, canvas",https://www.wikiart.org/en/lothar-charoux/untitled-1980,https://uploads2.wikiart.org/images/lothar-charoux/untitled-1980(1).jpg!Large.jpg,155,,,,
Untitled,Gego,Op Art,abstract,"pencil, paper",https://www.wikiart.org/en/gego/untitled-1966-3,https://uploads8.wikiart.org/images/gego/untitled-1966-3.jpg,156,,,,
Tensioni formali da instabilità luminosa,Mario Ballocco,Op Art,abstract,"oil, canvas",https://www.wikiart.org/en/mario-ballocco/tensioni-formali-da-instabilit-luminosa-1967,https://uploads8.wikiart.org/images/mario-ballocco/tensioni-formali-da-instabilit-luminosa-1967.jpg,157,,,,
Atmosphère chromoplastique N° 120,Luis Tomasello,Op Art,sculpture,wood,https://www.wikiart.org/en/luis-tomasello/atmosph-re-chromoplastique-n-120-1964,https://uploads8.wikiart.org/images/luis-tomasello/atmosph-re-chromoplastique-n-120-1964.jpg,158,,,,
Spazio totale,Mario Nigro,Op Art,abstract,"oil, canvas",https://www.wikiart.org/en/mario-nigro/spazio-totale-1953,https://uploads8.wikiart.org/images/mario-nigro/spazio-totale-1953.jpg,159,,,,
Atom Cloud,Edna Andrade,Op Art,abstract,"oil, canvas",https://www.wikiart.org/en/edna-andrade/atom-cloud-1958,https://uploads8.wikiart.org/images/edna-andrade/atom-cloud-1958.jpg,160,,,,
Untitled (Blue Man on Red Object),Bill Traylor,Outsider art (Art brut),figurative,"pencil, cardboard",https://www.wikiart.org/en/bill-traylor/untitled-blue-man-on-red-object-1939,https://uploads8.wikiart.org/images/bill-traylor/untitled-blue-man-on-red-object-1939.jpg,161,,,,
Untitled,Louis Wain,Outsider art (Art brut),animal painting,"oil, canvas",https://www.wikiart.org/en/louis-wain/untitled-5,https://uploads8.wikiart.org/images/louis-wain/untitled-5.jpg,162,,,,
Irren Anstalt Band Hain,Adolf Wolfli,Outsider art (Art brut),figurative,"oil, canvas",https://www.wikiart.org/en/adolf-wolfli/irren-anstalt-band-hain-1919,https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg,163,,,,
Wappen,August Natterer,Outsider art (Art brut),symbolic painting,"oil, canvas",https://www.wikiart.org/en/august-natterer/wappen,https://uploads8.wikiart.org/images/august-natterer/wappen.jpg,164,,,,
Forêt,Louis Soutter,Outsider art (Art brut),figurative,"oil, canvas",https://www.wikiart.org/en/louis-soutter/for-t-1942,https://uploads8.wikiart.org/images/louis-soutter/for-t-1942.jpg,165,,,,
Cotton Mill,Clementine Hunter,Outsider art (Art brut),genre painting,"oil, canvas",https://www.wikiart.org/en/clementine-hunter/cotton-mill,https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg,166,,,,
Human Headed Blengins of Calverine Island Catherine Isles,Henry Darger,Outsider art (Art brut),illustration,"oil, canvas",https://www.wikiart.org/en/henry-darger/human-headed-blengins-of-calverine-island-catherine-isles,https://uploads8.wikiart.org/images/henry-darger/human-headed-blengins-of-calverine-island-catherine-isles.jpg,167,,,,
The Mass Demon,Friedrich Schroder-Sonnenstern,Outsider art (Art brut),figurative,"oil, canvas",https://www.wikiart.org/en/friedrich-schroder-sonnenstern/the-mass-demon-1954,https://uploads8.wikiart.org/images/friedrich-schroder-sonnenstern/the-mass-demon-1954.jpg,168,,,,
Atlas Building,William Hawkins,Outsider art (Art brut),cityscape,"oil, canvas",https://www.wikiart.org/en/william-hawkins/atlas-building-1979,https://uploads5.wikiart.org/00237/images/william-hawkins/screen-shot-2019-05-22-at-10-18-35-am.png!Large.png,169,,,,
Subway,Jean Dubuffet,Outsider art (Art brut),figurative,incised ink,https://www.wikiart.org/en/jean-dubuffet/subway,https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg,170,,,,
Untitled,Shozo Shimamoto,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/shozo-shimamoto/unknown-title,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,171,,,,
People,Se-Ok Suh,Art Informel,abstract,ink,https://www.wikiart.org/en/se-ok-suh/people,https://uploads8.wikiart.org/images/se-ok-suh/people.jpg,172,,,,
Painting 488,Luis Feito,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/luis-feito/painting-488,https://uploads8.wikiart.org/images/luis-feito/painting-488.jpg,173,,,,
Untitled,Samuel Buri,Art Informel,abstract,lithograph,https://www.wikiart.org/en/samuel-buri/untitledd,https://uploads0.wikiart.org/images/samuel-buri/untitled.jpg!Large.jpg,174,,,,
Dizeres Intimos I,Gil Teixeira Lopes,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/gil-teixeira-lopes/dizeres-intimos-i,https://uploads8.wikiart.org/images/gil-teixeira-lopes/dizeres-intimos-i.jpg,175,,,,
Bird,Matsutani,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/matsutani/bird,https://uploads6.wikiart.org/images/matsutani/bird(1).jpg!Large.jpg,176,,,,
Ardoise,Andre-Pierre Arnal,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/andre-pierre-arnal/ardoise,https://uploads8.wikiart.org/images/andre-pierre-arnal/ardoise.jpg,177,,,,
Småting,Asger Jorn,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/asger-jorn/sm-ting-1940,https://uploads8.wikiart.org/images/asger-jorn/sm-ting-1940.jpg,178,,,,
Untitled,Jean Fautrier,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/jean-fautrier/untitled-1943,https://uploads8.wikiart.org/images/jean-fautrier/untitled-1943.jpg,179,,,,
Sun Figures,Willi Baumeister,Art Informel,abstract,"oil, canvas",https://www.wikiart.org/en/willi-baumeister/sun-figures-1944,https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg,180,,,,
Landscape with a Palace,Eugeniusz Zak,Art Deco,landscape,"oil, canvas",https://www.wikiart.org/en/eugeniusz-ak/landscape-with-a-palace-1916,https://uploads8.wikiart.org/images/eugeniusz-ak/landscape-with-a-palace-1916.jpg,181,,,,
An Elegant Young Lady with a Fur Hat by Gerda Wegener,Gerda Wegener,Art Deco,portrait,etching,https://www.wikiart.org/en/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918,https://uploads7.wikiart.org/00333/images/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918.jpg!HalfHD.jpg,182,,,,
La danseuse et les deux pigeons,Jean Dupas,Art Deco,genre painting,"oil, canvas",https://www.wikiart.org/en/jean-dupas/la-danseuse-et-les-deux-pigeons-1919,https://uploads8.wikiart.org/images/jean-dupas/la-danseuse-et-les-deux-pigeons-1919.jpg,183,,,,
Self Portrait,Archibald Motley,Art Deco,portrait,"oil, canvas",https://www.wikiart.org/en/archibald-motley/self-portrait-1920,https://uploads0.wikiart.org/00230/images/archibald-motley/self-portrait.jpg!Large.jpg,184,,,,
Three Women Under an Umbrella,Gerda Wegener,Art Deco,portrait,"oil, canvas",https://www.wikiart.org/en/gerda-wegener/three-women-under-an-umbrella-1920,https://uploads5.wikiart.org/00333/images/gerda-wegener/three-women-under-an-umbrella-c-1920.jpg!Portrait.jpg,185,,,,
Au Bucheron,Cassandre,Art Deco,poster,print,https://www.wikiart.org/en/cassandre/au-bucheron-1923,https://uploads8.wikiart.org/images/cassandre/au-bucheron-1923.jpg,186,,,,
The Judgement of Paris,Jean Dupas,Art Deco,Mythological painting,"oil, canvas",https://www.wikiart.org/en/jean-dupas/the-judgement-of-paris-1923,https://uploads1.wikiart.org/00452/images/jean-dupas/42-medium.jpg!Large.jpg,187,,,,
Bather,Rene Magritte,Art Deco,genre painting,"oil, canvas",https://www.wikiart.org/en/rene-magritte/bather-1925,https://uploads8.wikiart.org/images/rene-magritte/bather-1925(1).jpg!Large.jpg,188,,,,
Le Nouvelliste,Cassandre,Art Deco,poster,print,https://www.wikiart.org/en/cassandre/le-nouvelliste-1924,https://uploads8.wikiart.org/images/cassandre/le-nouvelliste-1924.jpg,189,,,,
Portrait of Marquis Sommi,Tamara de Lempicka,Art Deco,portrait,"oil, canvas",https://www.wikiart.org/en/tamara-de-lempicka/portrait-of-marquis-sommi-1925,https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg,190,,,,
Untitled,Enrico Castellani,Spatialism,abstract,textile,https://www.wikiart.org/en/enrico-castellani/untitled,https://uploads8.wikiart.org/images/enrico-castellani/untitled.jpg,191,,,,
Verde,Agostino ,Spatialism,abstract,textile,https://www.wikiart.org/en/agostino-bonalumi/verde-3000,https://uploads8.wikiart.org/images/agostino-bonalumi/verde-3000.jpg,192,,,,
Deposition,Lucio Fontana,Spatialism,abstract,sculpture,https://www.wikiart.org/en/lucio-fontana/deposition,https://uploads8.wikiart.org/images/lucio-fontana/deposition.jpg,193,,,,
Achrome,Piero Manzoni,Spatialism,abstract,canvas,https://www.wikiart.org/en/piero-manzoni/achrome-1958-1,https://uploads8.wikiart.org/images/piero-manzoni/achrome-1958-1.jpg,194,,,,
Volume,Dadmaino,Spatialism,abstract,"oil, canvas",https://www.wikiart.org/en/dadamaino/volume-1958,https://uploads8.wikiart.org/images/dadamaino/volume-1958.jpg,195,,,,
Iron,Alberto Burri,Spatialism,abstract,metal,https://www.wikiart.org/en/alberto-burri/iron-1960,https://uploads8.wikiart.org/images/alberto-burri/iron-1960.jpg,196,,,,
Volumi (blu),Paolo Scheggi,Spatialism,abstract,"oil, canvas",https://www.wikiart.org/en/paolo-scheggi/volumi-blu-1964,https://uploads8.wikiart.org/images/paolo-scheggi/volumi-blu-1964.jpg,197,,,,
Dittico rosso,Enrico Castellani,Spatialism,abstract,"oil, canvas",https://www.wikiart.org/en/enrico-castellani/dittico-rosso-1966,https://uploads8.wikiart.org/images/enrico-castellani/dittico-rosso-1966.jpg,198,,,,
Bianco,Agostino Bonalumi,Spatialism,abstract,"oil, canvas",https://www.wikiart.org/en/agostino-bonalumi/bianco-1966,https://uploads8.wikiart.org/images/agostino-bonalumi/bianco-1966.jpg,199,,,,
Forme ovali al negativo,Turi Simeti,Spatialism,abstract,"oil, canvas",https://www.wikiart.org/en/turi-simeti/forme-ovali-al-negativo-1966,https://uploads8.wikiart.org/images/turi-simeti/forme-ovali-al-negativo-1966.jpg,200,,,,