"270...1","270...2","270...3","270...4","270...5","270...6","270...7","270...8","270...9","270...10","270...11","270...12","270...13","270...14","270...15","270...16","270...17","270...18","270...19","270...20","270...21","270...22","270...23","270...24","270...25","270...26","270...27","270...28","270...29","270...30","270...31","270...32","270...33","270...34","270...35","270...36","270...37","270...38","270...39","270...40","246...41","246...42","246...43","246...44","246...45","246...46","246...47","246...48","246...49","246...50","246...51","246...52","246...53","246...54","246...55","246...56","246...57","246...58","246...59","246...60","246...61","246...62","246...63","246...64","246...65","246...66","246...67","246...68","246...69","246...70","246...71","246...72","246...73","246...74","246...75","246...76","246...77","246...78","246...79","246...80","160...81","160...82","160...83","160...84","160...85","160...86","160...87","160...88","160...89","160...90","160...91","160...92","160...93","160...94","160...95","160...96","160...97","160...98","160...99","160...100","160...101","160...102","160...103","160...104","160...105","160...106","160...107","160...108","160...109","160...110","160...111","160...112","160...113","160...114","160...115","160...116","160...117","160...118","160...119","160...120","160...121","160...122","15...123","15...124","15...125","15...126","15...127","15...128","15...129","15...130","15...131","15...132","15...133","15...134","15...135","15...136","15...137","15...138","15...139","15...140","15...141","15...142","15...143","15...144","15...145","15...146","15...147","15...148","15...149","15...150","15...151","15...152","15...153","15...154","15...155","15...156","15...157","15...158","15...159","15...160","15...161","15...162","15...163","15...164","ParticipantID"
"270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","270","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","246","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15",NA
"Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","Target","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate","SelfRate",NA
"https://uploads8.wikiart.org/images/pablo-picasso/composition-with-skull-1908.jpg","https://uploads8.wikiart.org/images/cassandre/le-nouvelliste-1924.jpg","https://uploads8.wikiart.org/images/luis-feito/painting-488.jpg","https://uploads6.wikiart.org/00308/images/jean-baptiste-van-loo/jean-baptiste-van-loo-le-bain-de-diane.jpg!HD.jpg","https://uploads8.wikiart.org/images/ferdinand-hodler/at-the-foot-of-the-petit-saleve-1893.jpg","https://uploads8.wikiart.org/images/claude-monet/impression-sunrise.jpg","https://uploads4.wikiart.org/00307/images/jessie-arms-botke/ducks-1920.jpg!Large.jpg","https://uploads1.wikiart.org/00137/images/frank-xavier-leyendecker/mending-the-pirate-flag.jpg!HalfHD.jpg","https://uploads8.wikiart.org/images/dadamaino/volume-1958.jpg","https://uploads8.wikiart.org/images/agostino-bonalumi/verde-3000.jpg","https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg","https://uploads8.wikiart.org/images/louis-wain/untitled-5.jpg","https://uploads8.wikiart.org/images/m-c-escher/not_detected_204652.jpg","https://uploads8.wikiart.org/images/stanley-pinker/god-dog.jpg","https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg","https://uploads8.wikiart.org/images/alexey-venetsianov/sleeping-herd-boy.jpg","https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg","https://uploads8.wikiart.org/images/john-marin/autumn-coloring-no-4-1952.jpg","https://uploads8.wikiart.org/images/pablo-picasso/composition-with-skull-1908.jpg","https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg","https://uploads8.wikiart.org/images/cassandre/le-nouvelliste-1924.jpg","https://uploads0.wikiart.org/images/samuel-buri/untitled.jpg!Large.jpg","https://uploads8.wikiart.org/images/luis-feito/painting-488.jpg","https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg","https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg","https://uploads6.wikiart.org/00308/images/jean-baptiste-van-loo/jean-baptiste-van-loo-le-bain-de-diane.jpg!HD.jpg","https://uploads8.wikiart.org/images/wilhelm-kotarbinski/afternoon-silence.jpg","https://uploads8.wikiart.org/images/ferdinand-hodler/at-the-foot-of-the-petit-saleve-1893.jpg","https://uploads8.wikiart.org/images/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty.jpg","https://uploads8.wikiart.org/images/claude-monet/impression-sunrise.jpg","https://uploads4.wikiart.org/00307/images/jessie-arms-botke/ducks-1920.jpg!Large.jpg","https://uploads1.wikiart.org/00137/images/frank-xavier-leyendecker/mending-the-pirate-flag.jpg!HalfHD.jpg","https://uploads8.wikiart.org/images/dadamaino/volume-1958.jpg","https://uploads8.wikiart.org/images/agostino-bonalumi/verde-3000.jpg","https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg","https://uploads8.wikiart.org/images/louis-wain/untitled-5.jpg","https://uploads8.wikiart.org/images/m-c-escher/not_detected_204652.jpg","https://uploads8.wikiart.org/images/stanley-pinker/god-dog.jpg","https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg","https://uploads8.wikiart.org/images/alexey-venetsianov/sleeping-herd-boy.jpg","https://uploads8.wikiart.org/images/man-ray/jazz.jpg","https://uploads8.wikiart.org/images/pierre-puvis-de-chavannes/the-poor-fisherman.jpg","https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg","https://uploads8.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg","https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg","https://uploads8.wikiart.org/images/gego/untitled-1966.jpg","https://uploads8.wikiart.org/00307/images/frank-frazetta/a-princess-of-mars.jpg","https://uploads8.wikiart.org/images/edgar-degas/landscape-at-valery-sur-somme.jpg","https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg","https://uploads2.wikiart.org/00192/images/emil-nolde/5b4816d6edc2c90a545a2384.jpg!Large.jpg","https://uploads8.wikiart.org/images/lovis-corinth/cain-1917.jpg","https://uploads8.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg","https://uploads8.wikiart.org/images/james-ward/the-eildon-hills-and-the-tweed-1807.jpg","https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg","https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg","https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg","https://uploads1.wikiart.org/00452/images/jean-dupas/42-medium.jpg!Large.jpg","https://uploads8.wikiart.org/images/man-ray/jazz.jpg","https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg","https://uploads1.wikiart.org/00452/images/jean-dupas/42-medium.jpg!Large.jpg","https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg","https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg","https://uploads8.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg","https://uploads8.wikiart.org/images/james-ward/the-eildon-hills-and-the-tweed-1807.jpg","https://uploads2.wikiart.org/00192/images/emil-nolde/5b4816d6edc2c90a545a2384.jpg!Large.jpg","https://uploads8.wikiart.org/images/lovis-corinth/cain-1917.jpg","https://uploads8.wikiart.org/images/edgar-degas/landscape-at-valery-sur-somme.jpg","https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg","https://uploads8.wikiart.org/00307/images/frank-frazetta/a-princess-of-mars.jpg","https://uploads4.wikiart.org/00307/images/jessie-arms-botke/ducks-1920.jpg!Large.jpg","https://uploads8.wikiart.org/images/gego/untitled-1966.jpg","https://uploads8.wikiart.org/images/agostino-bonalumi/bianco-1966.jpg","https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg","https://uploads8.wikiart.org/images/louis-soutter/for-t-1942.jpg","https://uploads8.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg","https://uploads8.wikiart.org/images/luis-tomasello/atmosph-re-chromoplastique-n-120-1964.jpg","https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg","https://uploads8.wikiart.org/images/jean-francois-millet/the-wood-sawyers-1852.jpg","https://uploads8.wikiart.org/images/pierre-puvis-de-chavannes/the-poor-fisherman.jpg","https://uploads8.wikiart.org/images/arnold-b-cklin/the-isle-of-the-dead-1883.jpg!HD.jpg","https://uploads1.wikiart.org/00243/images/konrad-zuse/6332-80x55.jpg!PinterestSmall.jpg","https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg!Large.jpg","https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg","https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg","https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg","https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg","https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg","https://uploads8.wikiart.org/images/jean-dupas/la-danseuse-et-les-deux-pigeons-1919.jpg","https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg","https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg","https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901.jpg","https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg","https://uploads8.wikiart.org/images/harrison-fisher/untitled-32.jpg","https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg","https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg","https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg","https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg","https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg","https://uploads1.wikiart.org/00243/images/konrad-zuse/6332-80x55.jpg!PinterestSmall.jpg","https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg!Large.jpg","https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg","https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg","https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg","https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg","https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg","https://uploads8.wikiart.org/images/jean-dupas/la-danseuse-et-les-deux-pigeons-1919.jpg","https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg","https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg","https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901.jpg","https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg","https://uploads8.wikiart.org/images/harrison-fisher/untitled-32.jpg","https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg","https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg","https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg","https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg","https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg","https://uploads8.wikiart.org/images/man-ray/jazz.jpg","https://uploads7.wikiart.org/00333/images/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918.jpg!HalfHD.jpg","https://uploads8.wikiart.org/images/jean-fautrier/untitled-1943.jpg","https://uploads6.wikiart.org/00308/images/jean-baptiste-van-loo/jean-baptiste-van-loo-le-bain-de-diane.jpg!HD.jpg","https://uploads8.wikiart.org/00284/images/francesc-masriera/masriera-belles.jpg!Large.jpg","https://uploads8.wikiart.org/images/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty.jpg","https://uploads8.wikiart.org/images/william-holman-hunt/christ-and-the-two-marys.jpg","https://uploads8.wikiart.org/images/ernest-meissonier/the-card-players-1872.jpg","https://uploads8.wikiart.org/images/edna-andrade/atom-cloud-1958.jpg","https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg","https://uploads8.wikiart.org/images/agostino-bonalumi/verde-3000.jpg","https://uploads5.wikiart.org/00231/images/vladimir-tretchikoff/at244945002.jpg!Portrait.jpg","https://uploads8.wikiart.org/images/edouard-manet/effect-of-snow-at-petit-montrouge-1870.jpg","https://uploads8.wikiart.org/images/edgar-degas/landscape-at-valery-sur-somme.jpg","https://uploads3.wikiart.org/00214/images/maximilian-pirner/maxmilian-pirner-gulliver-mezi-sk-tky-1910-1.jpg!Large.jpg","https://uploads8.wikiart.org/images/wassily-kandinsky/the-golden-sail-1903.jpg","https://uploads8.wikiart.org/images/annibale-carracci/the-butcher-s-shop.jpg","https://uploads2.wikiart.org/00308/images/francois-lemoyne/fran-ois-lemoyne-l-apoth-ose-d-hercule-google-art-project.jpg!HD.jpg","https://uploads8.wikiart.org/images/lyubov-popova/production-clothing-for-actor-no-5-in-fernand-crommelynck-s-play-the-magnanimous-cuckold.jpg","https://uploads8.wikiart.org/images/vladimir-tatlin/monument-to-the-third-international-1920.jpg","https://uploads8.wikiart.org/images/eugeniusz-ak/landscape-with-a-palace-1916.jpg","https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg","https://uploads8.wikiart.org/images/patrick-henry-bruce/painting-1930.jpg","https://uploads8.wikiart.org/images/pablo-picasso/composition-with-skull-1908.jpg","https://uploads8.wikiart.org/images/patrick-henry-bruce/painting-1930.jpg","https