"link to image","participant_1","participant_83","participant_94","participant_95","participant_66","participant_49","participant_32","participant_98","participant_15","participant_80","participant_63","participant_96","participant_46","participant_29","participant_12","participant_89","participant_84","participant_77","participant_60","participant_43","participant_93","participant_26","participant_9","participant_74","participant_91","participant_57","participant_40","participant_23","participant_100","participant_78","participant_6","participant_71","participant_54","participant_87","participant_37","participant_20","participant_3","participant_85","participant_68","participant_51","participant_34","participant_45","participant_7","participant_90","participant_17","participant_82","participant_65","participant_16","participant_48","participant_31","participant_14","participant_86","participant_79","participant_62","participant_56","participant_18","participant_27","participant_28","participant_11","participant_76","participant_47","participant_59","participant_42","participant_25","participant_5","participant_8","participant_73","participant_67","participant_36","participant_38","participant_39","participant_22","participant_13","participant_58","participant_70","participant_53","participant_50","participant_33","participant_19","participant_2","participant_81","participant_64","participant_69","participant_99","participant_30","participant_24","participant_44","participant_97","participant_88","participant_61","participant_75","participant_55","participant_92","participant_10","participant_35","participant_4","participant_41","participant_72","participant_21","participant_52"
"https://uploads8.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion.jpg",NA,NA,92,72,NA,NA,NA,NA,NA,NA,1,91,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,86,NA,NA,18,NA,NA,NA,NA,NA,30,62,NA,NA,21,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,69,55,57,NA,31,NA,NA,NA,77,NA,NA,NA,NA,68,51,33,36,NA,NA,NA,81,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0,NA,86,NA,NA
"https://uploads8.wikiart.org/images/joseph-wright/vesuvius-from-posillipo.jpg",NA,NA,NA,NA,NA,68,80,NA,NA,NA,NA,NA,NA,57,87,NA,82,NA,67,92,100,NA,85,NA,NA,NA,NA,NA,93,90,NA,NA,71,83,100,74,NA,37,NA,NA,NA,NA,NA,99,93,NA,NA,72,NA,NA,NA,NA,NA,NA,100,NA,NA,44,80,NA,77,61,NA,77,NA,80,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,61,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/john-singleton-copley/the-siege-and-relief-of-gibraltar-1783.jpg",NA,NA,NA,NA,72,17,67,NA,NA,NA,95,90,NA,NA,NA,92,NA,NA,90,NA,100,NA,NA,90,NA,NA,NA,NA,NA,86,NA,81,NA,49,NA,NA,51,NA,91,57,NA,NA,44,NA,NA,87,NA,NA,NA,7,NA,NA,31,72,84,NA,NA,NA,78,15,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,75,85,NA,NA,65,NA,NA,100,87,58,NA,60,74,29,76,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/00420/images/henry-fuseli/hagen-and-the-nymphs-of-the-danube-the-metropolitan-museum-of-art.jpg!HD.jpg",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,85,NA,NA,65,83,NA,NA,14,NA,NA,NA,NA,76,61,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,69,NA,62,81,43,63,NA,NA,NA,NA,NA,NA,NA,NA,52,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,NA,67,NA,NA,NA,NA,NA,76,NA,68,NA,NA,38,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/francisco-goya/the-adoration-of-the-name-of-the-lord-1772.jpg",17,NA,95,57,84,NA,NA,NA,54,NA,NA,NA,76,100,NA,77,NA,NA,NA,NA,92,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,88,NA,87,84,NA,NA,NA,NA,82,100,58,63,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,79,NA,24,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,83,NA,NA,26,NA,NA,64,NA,39,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,70,NA,NA,NA
"https://uploads8.wikiart.org/images/pierre-paul-prud-hon/portrait-of-the-empress-josephine-1805.jpg",NA,NA,NA,NA,65,NA,NA,35,NA,NA,NA,NA,NA,NA,87,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,16,29,NA,87,NA,NA,67,NA,88,81,NA,NA,73,NA,65,NA,NA,67,NA,60,NA,62,55,85,67,NA,11,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,91,NA,100,NA,48,NA,56,NA,NA,NA,83,NA,NA,NA,88,NA,NA,NA,49,NA,54,NA,NA,92,73,66,NA,78,82,NA,NA,99,NA,NA
"https://uploads8.wikiart.org/images/john-hoppner/rear-admiral-sir-horatio-nelson-ca-1800.jpg",NA,53,NA,NA,NA,2,82,NA,6,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,55,NA,NA,55,60,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,76,53,NA,NA,NA,NA,NA,70,NA,NA,NA,55,75,73,NA,NA,NA,70,70,NA
"https://uploads8.wikiart.org/00360/images/saverio-della-gatta/174142.jpg!Large.jpg",NA,NA,NA,NA,NA,12,NA,39,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,71,69,NA,75,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,64,NA,40,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,67,NA,NA,NA,NA,NA,NA,83,62,NA,44,NA,60,NA,NA,NA,NA,85,NA,NA,NA,63,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/thomas-lawrence/john-philip-kemble-1812.jpg",NA,NA,NA,NA,NA,7,NA,50,20,0,NA,61,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,13,86,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,69,NA,NA,NA,71,NA,NA,43,NA,57,NA,NA,NA,NA,20,0,NA,35,NA,NA,NA,64,52,NA,NA,40,39,NA,66,7,NA,NA,82,61,NA,NA,NA,NA,NA,NA,73,NA,NA,81,NA,NA,76,52,59,NA,NA,68,NA,74,NA,NA,79,NA,62,NA,NA,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/james-ward/the-eildon-hills-and-the-tweed-1807.jpg",NA,NA,NA,NA,NA,NA,NA,NA,51,100,NA,87,NA,100,97,77,NA,NA,NA,82,NA,NA,94,NA,NA,NA,NA,51,NA,NA,NA,NA,68,NA,77,NA,NA,83,NA,NA,NA,NA,NA,88,NA,NA,84,NA,NA,69,NA,NA,NA,54,100,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,31,NA,NA,4,82,NA,100,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,71,NA,NA,NA,NA,60,91,78,51,NA,100,NA,NA,NA,100
"https://uploads8.wikiart.org/images/claude-monet/impression-sunrise.jpg",NA,NA,NA,59,NA,NA,NA,NA,NA,100,86,NA,NA,NA,100,68,NA,67,68,NA,NA,86,NA,52,NA,100,NA,84,NA,NA,85,72,59,NA,NA,NA,92,NA,NA,NA,NA,82,75,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,49,NA,NA,82,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,17,NA,NA
"https://uploads8.wikiart.org/images/eugene-boudin/the-bay-of-douarnenez-1897.jpg",75,48,NA,NA,82,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,100,NA,NA,NA,NA,NA,79,NA,57,92,62,85,NA,NA,NA,77,NA,74,NA,97,NA,NA,NA,NA,NA,NA,31,82,75,NA,69,NA,NA,NA,NA,NA,100,56,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,70,71,36,NA,NA,NA,82,64,NA,70,65,63,100,NA,89,NA,100,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty.jpg",NA,55,96,NA,NA,NA,NA,NA,NA,100,50,NA,59,NA,100,NA,NA,71,NA,87,100,NA,100,9,91,96,NA,NA,NA,60,90,NA,NA,77,NA,NA,NA,80,NA,NA,NA,NA,NA,85,NA,57,NA,NA,67,NA,NA,NA,25,13,NA,NA,NA,NA,NA,NA,89,NA,70,69,NA,NA,NA,NA,NA,77,NA,NA,74,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,51,NA,83,NA,93,NA,98,NA,76,74,NA,NA,100,27,NA,40,100
"https://uploads8.wikiart.org/images/edouard-manet/effect-of-snow-at-petit-montrouge-1870.jpg",NA,NA,98,NA,NA,77,NA,NA,60,NA,NA,NA,40,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,93,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,67,NA,100,NA,NA,85,50,NA,NA,50,NA,NA,NA,NA,65,88,85,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,81,NA,NA,50,54,39,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,62,84,NA,NA,64,59,NA,79,0,55,NA,26,NA
"https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg",27,NA,95,NA,NA,NA,43,27,NA,NA,15,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,39,NA,15,61,NA,NA,NA,NA,NA,NA,82,63,NA,NA,100,75,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,66,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,23,69,63,NA,NA,33,50,56,NA,59,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,74,NA,NA,NA,81,NA,84,NA,NA,NA,NA,88
"https://uploads8.wikiart.org/images/konstantinos-volanakis/sailing-ships-at-dawn.jpg",NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,80,NA,87,NA,NA,NA,83,69,NA,NA,41,72,NA,NA,NA,NA,NA,73,NA,51,26,NA,NA,NA,73,NA,89,NA,NA,NA,63,NA,54,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,25,NA,80,31,54,NA,100,NA,NA,88,76,55,86,NA,NA,NA,63,74,85,NA,NA,NA,64,66,86,NA,NA,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/nicolae-grigorescu/sm-rdan-attack-1878.jpg",43,NA,NA,45,94,6,58,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,0,NA,49,NA,NA,NA,52,NA,70,NA,NA,61,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,12,NA,NA,NA,NA,82,NA,51,NA,NA,88,NA,NA,33,77,NA,27,NA,NA,67,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://uploads5.wikiart.org/00290/images/martin-rico/near-the-grand-canal-venice-by-martin-rico-y-ortega-1908-oil-on-canvas-currier-museum-of-art.jpg!HD.jpg",51,NA,NA,86,100,85,70,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,80,NA,NA,NA,9,NA,NA,99,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,72,87,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,73,NA,91,NA,51,NA,NA,75,NA,55,NA,NA,NA,NA,98,NA,70,NA,NA,13,71,NA,NA,NA,71,NA,76,NA,NA,NA,62,NA,60,76,NA,63,NA,NA,77,NA,NA,72,NA,100,62,NA,NA,NA
"https://uploads8.wikiart.org/images/edgar-degas/landscape-at-valery-sur-somme.jpg",51,35,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,72,NA,NA,NA,NA,NA,NA,10,70,NA,41,NA,NA,NA,55,78,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,85,NA,66,NA,65,42,NA,NA,NA,NA,NA,65,NA,NA,25,NA,NA,63,NA,NA,NA,NA,NA,51,NA,74,NA,34,NA,19,NA,NA,NA,NA,NA,NA,75,NA,NA,75,NA,72,87,NA,51,NA,45,NA
"https://uploads8.wikiart.org/images/pierre-auguste-renoir/in-st-cloud-park-1866.jpg",51,NA,NA,100,57,NA,57,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,61,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,88,NA,NA,77,75,NA,60,NA,NA,NA,58,100,NA,NA,87,NA,NA,50,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,51,60,44,54,71,64,NA,NA,86,NA,NA,24,NA,79,NA,NA,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/christian-rohlfs/two-dancers-1913.jpg",NA,NA,55,66,NA,12,31,NA,NA,0,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,32,NA,NA,12,NA,NA,NA,NA,40,80,39,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,42,9,NA,NA,0,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,21,NA,57,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,32,NA,13,NA,NA,44,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,0,NA,20,0,NA
"https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901.jpg",NA,NA,NA,NA,NA,NA,NA,73,NA,100,NA,NA,NA,NA,NA,NA,NA,71,60,NA,NA,NA,NA,NA,NA,100,NA,NA,90,75,NA,81,67,NA,74,NA,NA,NA,87,NA,NA,NA,61,NA,73,58,78,36,88,52,NA,NA,NA,NA,NA,98,NA,65,NA,NA,NA,62,NA,NA,NA,NA,82,NA,NA,NA,NA,56,NA,NA,NA,59,NA,100,81,44,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,85,NA,51,73,51,NA
"https://uploads8.wikiart.org/images/lovis-corinth/cain-1917.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,80,86,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,74,76,NA,75,NA,3,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,0,83,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,100,70,NA,NA,NA,NA,NA,54,NA,88,NA,NA,NA,NA,92,NA,NA,70,NA,NA,25,54,NA
"https://uploads8.wikiart.org/images/james-ensor/masks-mocking-death-1888.jpg",NA,NA,NA,NA,NA,9,NA,NA,NA,100,0,NA,60,NA,NA,NA,NA,64,NA,NA,NA,42,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,6,34,NA,NA,NA,NA,45,NA,NA,NA,36,51,14,0,NA,0,8,NA,6,26,NA,NA,29,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,75,NA,NA,NA,22,37,NA,NA,NA,31,67,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://uploads3.wikiart.org/00116/images/carl-holsoe/carl-vilhelm-hols-e-www-kaifineart-com-4-4.jpg!Blog.jpg",NA,NA,NA,NA,NA,66,NA,79,NA,100,NA,NA,NA,NA,NA,72,NA,NA,64,NA,NA,NA,NA,NA,NA,100,NA,60,66,81,NA,76,NA,72,81,NA,NA,62,NA,NA,NA,NA,30,NA,NA,NA,91,66,NA,NA,NA,NA,NA,NA,96,NA,73,NA,NA,NA,NA,72,NA,46,57,80,NA,87,NA,76,62,NA,NA,85,94,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,100,61,NA,52,NA
"https://uploads8.wikiart.org/images/edvard-munch/despair-1892.jpg",30,NA,NA,87,70,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,86,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,75,NA,64,25,NA,NA,52,NA,NA,87,NA,NA,57,NA,NA,37,NA,NA,NA,NA,38,NA,NA,NA,62,NA,NA,NA,NA,58,NA,75,76,NA,NA,NA,NA,NA,NA,17,65,NA,69,NA,39,50,39,80,NA,32,NA,NA,NA,NA,83,NA,NA,69,NA,64,64,NA,55,NA,NA,NA,NA,72,NA,NA,20,NA,79
"https://uploads8.wikiart.org/images/wassily-kandinsky/the-golden-sail-1903.jpg",NA,12,58,57,NA,NA,NA,NA,NA,NA,NA,58,NA,57,NA,100,NA,NA,NA,NA,100,56,NA,NA,NA,NA,NA,39,NA,NA,11,NA,NA,NA,81,NA,NA,41,NA,NA,74,41,NA,NA,NA,NA,NA,73,NA,NA,NA,66,NA,NA,0,NA,51,NA,76,NA,16,NA,NA,NA,7,69,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,29,60,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,6,0,NA
"https://uploads8.wikiart.org/images/kathe-kollwitz/not_detected_235968.jpg",5,NA,NA,20,NA,57,NA,NA,NA,NA,NA,55,NA,NA,39,NA,87,64,89,NA,100,NA,NA,NA,NA,92,1,NA,93,NA,85,71,NA,NA,NA,NA,NA,75,NA,76,NA,29,72,NA,NA,NA,64,26,NA,21,NA,NA,11,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,79,NA,NA,NA,61,NA,53,59,NA,NA,NA,82,42,23,NA,NA,NA,NA,NA,NA
"https://uploads2.wikiart.org/00192/images/emil-nolde/5b4816d6edc2c90a545a2384.jpg!Large.jpg",NA,NA,NA,NA,NA,NA,NA,NA,55,NA,19,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,40,NA,20,NA,65,NA,83,NA,NA,27,NA,NA,78,NA,NA,87,52,NA,NA,65,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,63,NA,NA,NA,NA,NA,29,NA,44,NA,NA,69,NA,NA,84,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://uploads8.wikiart.org/images/cuno-amiet/winter-auf-der-oschwand-1908.jpg",NA,NA,NA,53,NA,NA,NA,NA,5,NA,NA,NA,8,NA,64,NA,85,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,50,NA,NA,NA,NA,93,50,NA,89,NA,NA,NA,NA,NA,NA,59,NA,NA,70,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,50,92,NA,NA,NA,40,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,23,NA,71,70,39,NA,NA,70,54,NA,NA,NA,NA,NA,12,6,NA
"https://uploads8.wikiart.org/images/pablo-picasso/plaster-head-and-arm-1925.jpg",NA,NA,NA,NA,21,NA,28,80,NA,100,NA,NA,NA,20,NA,70,NA,31,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,63,NA,NA,NA,60,29,NA,NA,12,52,49,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,45,65,NA,NA,9,NA,NA,NA,69,14,50,80,NA,NA,35,NA,NA,NA,NA,NA,NA,51,29,NA,100,NA,86,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,71,NA,NA,17,NA,NA
"https://uploads8.wikiart.org/images/pierre-roy/fairy-pipe-1928.jpg",36,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,57,44,NA,NA,NA,NA,NA,17,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,52,NA,NA,NA,42,NA,NA,27,NA,23,NA,NA,NA,NA,0,38,NA,NA,72,NA,NA,NA,63,NA,NA,NA,32,NA,NA,NA,47,0,NA,NA,67,41,38,NA,78,28,NA,52,NA,15,NA,NA,NA,NA,66,57,NA,NA,75,NA,NA,NA,NA,NA,13,35
"https://uploads7.wikiart.org/images/paul-klee/aroundfish-1926(1).jpg",39,31,NA,NA,NA,NA,52,NA,21,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,36,NA,NA,NA,NA,42,NA,NA,NA,84,50,NA,NA,69,51,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,65,NA,NA,50,NA,NA,NA,NA,NA,58,NA,NA,41,NA,NA,NA,NA,NA,60,40,NA,NA,NA,NA,73,51,NA,NA,NA,8,NA,77
"https://uploads4.wikiart.org/00280/images/grace-pailthorpe/november-14-1937-1937.jpg!Large.jpg",NA,NA,NA,66,73,67,64,NA,NA,0,NA,NA,NA,NA,45,NA,74,NA,NA,NA,NA,NA,NA,29,81,NA,NA,78,NA,NA,80,NA,NA,NA,21,NA,NA,38,NA,35,NA,63,NA,56,NA,NA,NA,19,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,35,60,NA,100,NA,NA,NA,NA,NA,NA,NA,8,NA,96,71,19,37,100,NA,NA,NA,NA
"https://uploads0.wikiart.org/00281/images/valentine-hugo/portrait-de-paul-eluard-1932.jpg!Large.jpg",NA,NA,NA,NA,27,NA,NA,51,NA,NA,5,NA,87,NA,64,NA,NA,NA,69,73,NA,NA,79,NA,10,100,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,75,NA,27,83,33,NA,NA,NA,NA,82,NA,75,NA,NA,69,NA,NA,NA,0,NA,100,NA,NA,NA,81,50,NA,68,NA,NA,67,NA,NA,92,72,68,70,66,67,100,NA,NA,NA,NA,84,NA,NA,54,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"https://uploads4.wikiart.org/00269/images/paul-nash/event-on-the-downs-1.jpg!HalfHD.jpg",NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,57,NA,NA,77,NA,24,NA,50,NA,87,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,52,NA,NA,76,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,55,NA,NA,NA,30,NA,NA,NA,NA,37,37,NA,NA,NA,NA,39,NA,NA,68,NA,NA,67,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
